"ind.row"	"ind.col"	"rnm"	"cnm"
"319"	368	18	"OP-HCU Stat-HPU"	"BAZAN HCU NOX INS"
"320"	394	18	"Yizraelia ITemp"	"BAZAN HCU NOX INS"
"321"	402	18	"Yizraelia RH"	"BAZAN HCU NOX INS"
"322"	403	18	"Yizraelia TEMP"	"BAZAN HCU NOX INS"
"323"	404	18	"Yizraelia WDD"	"BAZAN HCU NOX INS"
"324"	405	18	"Yizraelia WDS"	"BAZAN HCU NOX INS"
"326"	60	19	"BAZAN-B11 Stack_NOx"	"bazan NOx emission rate B11-Nox emission rate"
"331"	25	21	"bazan NOx emission rate CU1-Nox emission rate"	"bazan NOx emission rate B21-Nox emission rate"
"332"	27	21	"bazan NOx emission rate CU4-Nox emission rate"	"bazan NOx emission rate B21-Nox emission rate"
"333"	28	21	"bazan NOx emission rate HCU-Nox emission rate"	"bazan NOx emission rate B21-Nox emission rate"
"334"	29	21	"bazan NOx emission rate HDS-Nox emission rate"	"bazan NOx emission rate B21-Nox emission rate"
"335"	30	21	"bazan NOx emission rate HPU-Nox emission rate"	"bazan NOx emission rate B21-Nox emission rate"
"336"	31	21	"bazan NOx emission rate IHDA-GO-Nox emission rate"	"bazan NOx emission rate B21-Nox emission rate"
"337"	36	21	"BAZAN TO-4 stat_TOC"	"bazan NOx emission rate B21-Nox emission rate"
"338"	38	21	"BAZAN VRU activity and goals"	"bazan NOx emission rate B21-Nox emission rate"
"339"	41	21	"BAZAN_HDS NOX INS"	"bazan NOx emission rate B21-Nox emission rate"
"340"	42	21	"BAZAN_HPU HPU Stat"	"bazan NOx emission rate B21-Nox emission rate"
"341"	44	21	"BAZAN_HPU NOX INS"	"bazan NOx emission rate B21-Nox emission rate"
"342"	45	21	"BAZAN_Oper B11"	"bazan NOx emission rate B21-Nox emission rate"
"343"	46	21	"BAZAN_Oper B21"	"bazan NOx emission rate B21-Nox emission rate"
"344"	47	21	"BAZAN_Oper Benzine HDS"	"bazan NOx emission rate B21-Nox emission rate"
"345"	48	21	"BAZAN_Oper Boiler31"	"bazan NOx emission rate B21-Nox emission rate"
"346"	49	21	"BAZAN_Oper CCR"	"bazan NOx emission rate B21-Nox emission rate"
"347"	50	21	"BAZAN_Oper CU.1"	"bazan NOx emission rate B21-Nox emission rate"
"348"	51	21	"BAZAN_Oper CU.3"	"bazan NOx emission rate B21-Nox emission rate"
"349"	52	21	"BAZAN_Oper CU.4"	"bazan NOx emission rate B21-Nox emission rate"
"350"	53	21	"BAZAN_Oper FCC"	"bazan NOx emission rate B21-Nox emission rate"
"351"	54	21	"BAZAN_Oper GO HDS"	"bazan NOx emission rate B21-Nox emission rate"
"352"	55	21	"BAZAN_Oper HVGO HSD"	"bazan NOx emission rate B21-Nox emission rate"
"353"	56	21	"BAZAN_Oper Isomer"	"bazan NOx emission rate B21-Nox emission rate"
"354"	57	21	"BAZAN_Oper KERO HDS"	"bazan NOx emission rate B21-Nox emission rate"
"355"	58	21	"BAZAN_Oper Vis3."	"bazan NOx emission rate B21-Nox emission rate"
"356"	59	21	"BAZAN-B11 ST_NOx_INS"	"bazan NOx emission rate B21-Nox emission rate"
"357"	61	21	"BAZAN-B21 NOx Dry"	"bazan NOx emission rate B21-Nox emission rate"
"358"	62	21	"BAZAN-B21 SCR21_NOX_INS"	"bazan NOx emission rate B21-Nox emission rate"
