Delek TOC 36601 Sun Sep  4 01:00:00 2016
Kiryat Yam WDS 444286 Thu Oct 20 17:00:00 2016
Kiryat Yam WDS 189577 Sun Oct 23 16:00:00 2016
Kiryat Yam WDS 315478 Sat Oct 22 05:00:00 2016
Kiryat Yam WDS 405427 Fri Oct 21 04:00:00 2016
Kiryat Yam WDS 193177 Sun Oct 23 15:00:00 2016
Kiryat Yam WDS 429886 Thu Oct 20 21:00:00 2016
Kiryat Yam WDS 85229 Mon Oct 24 21:00:00 2016
Kiryat Yam WDS 387427 Fri Oct 21 09:00:00 2016
Kiryat Yam WDS 369427 Fri Oct 21 14:00:00 2016
Kiryat Yam WDS 319078 Sat Oct 22 04:00:00 2016
Kiryat Yam WDS 92429 Mon Oct 24 19:00:00 2016
Kiryat Yam WDS 394627 Fri Oct 21 07:00:00 2016
Kiryat Yam WDS 275878 Sat Oct 22 16:00:00 2016
Kiryat Yam WDS 261478 Sat Oct 22 20:00:00 2016
Kiryat Yam WDS 308278 Sat Oct 22 07:00:00 2016
Kiryat Yam WDS 437086 Thu Oct 20 19:00:00 2016
Kiryat Yam WDS 178777 Sun Oct 23 19:00:00 2016
